restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
#FeelTheROLL,Quick Bites,3.4,7,200.0,0,0,Fast Food,Bellandur,Bellandur
#L-81 Cafe,Quick Bites,3.9,48,400.0,1,0,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR
#L-81 Cafe,Quick Bites,3.9,48,400.0,1,0,Beverages,"Byresandra,Tavarekere,Madiwala",HSR
#refuel,Cafe,3.7,37,400.0,1,0,Cafe,Bannerghatta Road,Bannerghatta Road
#refuel,Cafe,3.7,37,400.0,1,0,Beverages,Bannerghatta Road,Bannerghatta Road
'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,Biryani,Marathahalli,Marathahalli
'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,Mughlai,Marathahalli,Marathahalli
'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,Chinese,Marathahalli,Marathahalli
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,BBQ,Bellandur,Bellandur
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,Continental,Bellandur,Bellandur
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,North Indian,Bellandur,Bellandur
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,Chinese,Bellandur,Bellandur
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,Beverages,Bellandur,Bellandur
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,Mughlai,Whitefield,Whitefield
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,Biryani,Whitefield,Whitefield
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,Chinese,Whitefield,Whitefield
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,North Indian,Whitefield,Whitefield
'@Italy,Casual Dining,4.1,305,700.0,1,0,Italian,Banashankari,Kumaraswamy Layout
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,0,0,North Indian,Indiranagar,Old Airport Road
1000 B.C,Quick Bites,3.2,49,300.0,1,0,Arabian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1000 B.C,Quick Bites,3.2,49,300.0,1,0,Sandwich,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1000 B.C,Quick Bites,3.2,49,300.0,1,0,Rolls,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1000 B.C,Quick Bites,3.2,49,300.0,1,0,Burger,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
100C,Casual Dining,3.7,41,450.0,0,0,Biryani,"Byresandra,Tavarekere,Madiwala",BTM
100C,Casual Dining,3.7,41,450.0,0,0,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
11 to 11 Express Biriyanis,Quick Bites,3.5,22,300.0,1,0,Biryani,Electronic City,Electronic City
11 to 11 Express Biriyanis,Quick Bites,3.5,22,300.0,1,0,Kebab,Electronic City,Electronic City
1441 Pizzeria,Casual Dining,4.1,119,800.0,1,0,Pizza,Basavanagudi,JP Nagar
1441 Pizzeria,Casual Dining,4.1,119,800.0,1,0,Salad,Basavanagudi,JP Nagar
154 Breakfast Club,Cafe,4.0,1509,900.0,1,1,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
154 Breakfast Club,Cafe,4.0,1509,900.0,1,1,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,Fast Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
