ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Order_Hour,Picked_Hour,Age_group
0x4607 ,INDORES13DEL02 ,37.0,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,1900-01-01 11:33:33.000000,1900-01-01 11:45:29,Sunny,High,2,Snack ,motorcycle ,0.0,No,Urban,24,11,11,35-39
0xb379 ,BANGRES18DEL02 ,34.0,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,1900-01-01 19:45:37.000000,1900-01-01 19:51:49,Stormy,Jam,2,Snack ,scooter ,1.0,No,Metropolitian,33,19,19,30-34
0x5d6d ,BANGRES19DEL01 ,23.0,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,1900-01-01 08:32:58.000000,1900-01-01 08:48:47,Sandstorms,Low,0,Drinks ,motorcycle ,1.0,No,Urban,26,8,8,20-24
0x7a6a ,COIMBRES13DEL02 ,38.0,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,1900-01-01 18:03:58.000000,1900-01-01 18:12:52,Sunny,Medium,0,Buffet ,motorcycle ,1.0,No,Metropolitian,21,18,18,35-39
0x70a2 ,CHENRES12DEL01 ,32.0,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,1900-01-01 13:34:16.000000,1900-01-01 13:45:36,Cloudy,High,1,Snack ,scooter ,1.0,No,Metropolitian,30,13,13,30-34
0x9bb4 ,HYDRES09DEL03 ,22.0,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,1900-01-01 21:23:28.000000,1900-01-01 21:30:20,Cloudy,Jam,0,Buffet ,motorcycle ,1.0,No,Urban,26,21,21,20-24
0x95b4 ,RANCHIRES15DEL01 ,33.0,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,1900-01-01 19:19:19.000000,1900-01-01 19:34:16,Fog,Jam,1,Meal ,scooter ,1.0,No,Metropolitian,40,19,19,30-34
0x9eb2 ,MYSRES15DEL02 ,35.0,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,1900-01-01 17:29:18.000000,1900-01-01 17:31:55,Cloudy,Medium,2,Meal ,motorcycle ,1.0,No,Metropolitian,32,17,17,35-39
0x1102 ,HYDRES05DEL02 ,22.0,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,1900-01-01 20:56:37.000000,1900-01-01 21:06:20,Stormy,Jam,0,Buffet ,motorcycle ,1.0,No,Metropolitian,34,20,21,20-24
0xcdcd ,DEHRES17DEL01 ,36.0,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,1900-01-01 21:59:01.000000,1900-01-01 22:10:28,Fog,Jam,2,Snack ,motorcycle ,3.0,No,Metropolitian,46,21,22,35-39
0xd987 ,KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,1900-01-01 14:58:54.000000,1900-01-01 15:08:51,Stormy,High,1,Meal ,motorcycle ,1.0,No,Metropolitian,23,14,15,20-24
0x2784 ,PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,1900-01-01 17:34:29.000000,1900-01-01 17:44:14,Sandstorms,Medium,1,Drinks ,scooter ,1.0,No,Metropolitian,21,17,17,20-24
0xc8b6 ,LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,1900-01-01 09:25:55.000000,1900-01-01 09:30:40,Sandstorms,Low,0,Buffet ,motorcycle ,0.0,No,Metropolitian,20,9,9,30-34
0xdb64 ,KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,1900-01-01 19:53:44.000000,1900-01-01 20:06:45,Fog,Jam,1,Snack ,scooter ,1.0,No,Metropolitian,41,19,20,20-24
